,id,ल्युट्,ण्वुल्,तृच्,तव्य,अनीयर्,क्त,क्तवतु,शतृ,स्य-शतृ,भावकर्म-शानच्,स्य-भावकर्म-शानच्,क्त्वा,ल्यप्,तुमुन्,णमुल्,घञ्,क्तिन्,अच्,क्वसु,चानश्,वुन्,अ,वरच्
0,01.0001,(बोभवन)---बोभवनम्,(बोभावक)-बोभावकः-बोभाविका-बोभावकम्,(बोभवितृ)-बोभविता-बोभवित्री-बोभवितृ,(बोभवितव्य)-बोभवितव्यः-बोभवितव्या-बोभवितव्यम्,(बोभवनीय)-बोभवनीयः-बोभवनीया-बोभवनीयम्,(बोभुवित)-बोभुवितः-बोभुविता-बोभुवितम्,(बोभुवितवत्)-बोभुवितवान्-बोभुवितवती-बोभुवितवत्/बोभुवितवद्,(बोभुवत्)-बोभुवत्/बोभुवद्-बोभुवती-बोभुवत्/बोभुवद्,(बोभविष्यत्)-बोभविष्यन्-बोभविष्यती/बोभविष्यन्ती-बोभविष्यत्/बोभविष्यद्,(बोभूयमान)-बोभूयमानः-बोभूयमाना-बोभूयमानम्,[(बोभाविष्यमाण-बोभविष्यमाण)- (बोभाविष्यमाणः-बोभविष्यमाणः)- (बोभाविष्यमाणा-बोभविष्यमाणा)- (बोभाविष्यमाणम्-बोभविष्यमाणम्)],(बोभवित्वा)---,(प्रबोभूय)---,(बोभवितुम्)---,(बोभावम्)---,(बोभाव)-बोभावः--,(बोभूति)--बोभूतिः-,(बोभव)-बोभवः-बोभवा-बोभवम्,[(बोभाविष्यमाण-बोभविष्यमाण-बोभवाम्बभूवस्-बोभवामासिवस्-बोभवाञ्चकृवस्)- (बोभाविष्यमाणः-बोभविष्यमाणः-बोभवाम्बभूवान्-बोभवामासिवान्-बोभवाञ्चकृवान्)- (बोभाविष्यमाणा-बोभविष्यमाणा-बोभवाम्बभूषी-बोभवामास्युषी-बोभवाञ्चक्रुषी)- (बोभाविष्यमाणम्-बोभविष्यमाणम्-बोभवाम्बभूवत्/बोभवाम्बभूवद्-बोभवामासिवत्/बोभवामासिवद्-बोभवाञ्चकृवत्/बोभवाञ्चकृवद्)],(बोभुवान)-बोभुवानः-बोभुवाना-बोभुवानम्,(बोभवक)-बोभवकः-बोभविका-बोभवकम्,(बोभवा)--बोभवा-,
1,01.0003,(पास्पर्धन)---पास्पर्धनम्,(पास्पर्धक)-पास्पर्धकः-पास्पर्धिका-पास्पर्धकम्,(पास्पर्धितृ)-पास्पर्धिता-पास्पर्धित्री-पास्पर्धितृ,(पास्पर्धितव्य)-पास्पर्धितव्यः-पास्पर्धितव्या-पास्पर्धितव्यम्,(पास्पर्धनीय)-पास्पर्धनीयः-पास्पर्धनीया-पास्पर्धनीयम्,(पास्पर्धित)-पास्पर्धितः-पास्पर्धिता-पास्पर्धितम्,(पास्पर्धितवत्)-पास्पर्धितवान्-पास्पर्धितवती-पास्पर्धितवत्/पास्पर्धितवद्,(पास्पर्धत्)-पास्पर्धत्/पास्पर्धद्-पास्पर्धती-पास्पर्धत्/पास्पर्धद्,(पास्पर्धिष्यत्)-पास्पर्धिष्यन्-पास्पर्धिष्यती/पास्पर्धिष्यन्ती-पास्पर्धिष्यत्/पास्पर्धिष्यद्,(पास्पर्ध्यमान)-पास्पर्ध्यमानः-पास्पर्ध्यमाना-पास्पर्ध्यमानम्,(पास्पर्धिष्यमाण)-पास्पर्धिष्यमाणः-पास्पर्धिष्यमाणा-पास्पर्धिष्यमाणम्,(पास्पर्धित्वा)---,(प्रपास्पर्ध्य)---,(पास्पर्धितुम्)---,(पास्पर्धम्)---,(पास्पर्ध)-पास्पर्धः--,[(पास्पर्धि-पास्पर्द्धि)- (-)- (पास्पर्धिः-पास्पर्द्धिः)- (-)],(पास्पर्ध)-पास्पर्धः-पास्पर्धा-पास्पर्धम्,[(पास्पर्धि-पास्पर्द्धि-पास्पर्धाम्बभूवस्-पास्पर्धामासिवस्-पास्पर्धाञ्चकृवस्)- (--पास्पर्धाम्बभूवान्-पास्पर्धामासिवान्-पास्पर्धाञ्चकृवान्)- (पास्पर्धिः-पास्पर्द्धिः-पास्पर्धाम्बभूषी-पास्पर्धामास्युषी-पास्पर्धाञ्चक्रुषी)- (--पास्पर्धाम्बभूवत्/पास्पर्धाम्बभूवद्-पास्पर्धामासिवत्/पास्पर्धामासिवद्-पास्पर्धाञ्चकृवत्/पास्पर्धाञ्चकृवद्)],(पास्पर्धान)-पास्पर्धानः-पास्पर्धाना-पास्पर्धानम्,(पास्पर्धक)-पास्पर्धकः-पास्पर्धिका-पास्पर्धकम्,(पास्पर्धा)--पास्पर्धा-,
2,01.0004,(जागाधन)---जागाधनम्,(जागाधक)-जागाधकः-जागाधिका-जागाधकम्,(जागाधितृ)-जागाधिता-जागाधित्री-जागाधितृ,(जागाधितव्य)-जागाधितव्यः-जागाधितव्या-जागाधितव्यम्,(जागाधनीय)-जागाधनीयः-जागाधनीया-जागाधनीयम्,(जागाधित)-जागाधितः-जागाधिता-जागाधितम्,(जागाधितवत्)-जागाधितवान्-जागाधितवती-जागाधितवत्/जागाधितवद्,(जागाधत्)-जागाधत्/जागाधद्-जागाधती-जागाधत्/जागाधद्,(जागाधिष्यत्)-जागाधिष्यन्-जागाधिष्यती/जागाधिष्यन्ती-जागाधिष्यत्/जागाधिष्यद्,(जागाध्यमान)-जागाध्यमानः-जागाध्यमाना-जागाध्यमानम्,(जागाधिष्यमाण)-जागाधिष्यमाणः-जागाधिष्यमाणा-जागाधिष्यमाणम्,(जागाधित्वा)---,(प्रजागाध्य)---,(जागाधितुम्)---,(जागाधम्)---,(जागाध)-जागाधः--,(जागाद्धि)--जागाद्धिः-,(जागाध)-जागाधः-जागाधा-जागाधम्,[(जागाधाम्बभूवस्-जागाधामासिवस्-जागाधाञ्चकृवस्)- (जागाधाम्बभूवान्-जागाधामासिवान्-जागाधाञ्चकृवान्)- (जागाधाम्बभूषी-जागाधामास्युषी-जागाधाञ्चक्रुषी)- (जागाधाम्बभूवत्/जागाधाम्बभूवद्-जागाधामासिवत्/जागाधामासिवद्-जागाधाञ्चकृवत्/जागाधाञ्चकृवद्)],(जागाधान)-जागाधानः-जागाधाना-जागाधानम्,(जागाधक)-जागाधकः-जागाधिका-जागाधकम्,(जागाधा)--जागाधा-,
3,01.0005,(बाबाधन)---बाबाधनम्,(बाबाधक)-बाबाधकः-बाबाधिका-बाबाधकम्,(बाबाधितृ)-बाबाधिता-बाबाधित्री-बाबाधितृ,(बाबाधितव्य)-बाबाधितव्यः-बाबाधितव्या-बाबाधितव्यम्,(बाबाधनीय)-बाबाधनीयः-बाबाधनीया-बाबाधनीयम्,(बाबाधित)-बाबाधितः-बाबाधिता-बाबाधितम्,(बाबाधितवत्)-बाबाधितवान्-बाबाधितवती-बाबाधितवत्/बाबाधितवद्,(बाबाधत्)-बाबाधत्/बाबाधद्-बाबाधती-बाबाधत्/बाबाधद्,(बाबाधिष्यत्)-बाबाधिष्यन्-बाबाधिष्यती/बाबाधिष्यन्ती-बाबाधिष्यत्/बाबाधिष्यद्,(बाबाध्यमान)-बाबाध्यमानः-बाबाध्यमाना-बाबाध्यमानम्,(बाबाधिष्यमाण)-बाबाधिष्यमाणः-बाबाधिष्यमाणा-बाबाधिष्यमाणम्,(बाबाधित्वा)---,(प्रबाबाध्य)---,(बाबाधितुम्)---,(बाबाधम्)---,(बाबाध)-बाबाधः--,(बाबाद्धि)--बाबाद्धिः-,(बाबाध)-बाबाधः-बाबाधा-बाबाधम्,[(बाबाधाम्बभूवस्-बाबाधामासिवस्-बाबाधाञ्चकृवस्)- (बाबाधाम्बभूवान्-बाबाधामासिवान्-बाबाधाञ्चकृवान्)- (बाबाधाम्बभूषी-बाबाधामास्युषी-बाबाधाञ्चक्रुषी)- (बाबाधाम्बभूवत्/बाबाधाम्बभूवद्-बाबाधामासिवत्/बाबाधामासिवद्-बाबाधाञ्चकृवत्/बाबाधाञ्चकृवद्)],(बाबाधान)-बाबाधानः-बाबाधाना-बाबाधानम्,(बाबाधक)-बाबाधकः-बाबाधिका-बाबाधकम्,(बाबाधा)--बाबाधा-,
4,01.0006,(नानाधन)---नानाधनम्,(नानाधक)-नानाधकः-नानाधिका-नानाधकम्,(नानाधितृ)-नानाधिता-नानाधित्री-नानाधितृ,(नानाधितव्य)-नानाधितव्यः-नानाधितव्या-नानाधितव्यम्,(नानाधनीय)-नानाधनीयः-नानाधनीया-नानाधनीयम्,(नानाधित)-नानाधितः-नानाधिता-नानाधितम्,(नानाधितवत्)-नानाधितवान्-नानाधितवती-नानाधितवत्/नानाधितवद्,(नानाधत्)-नानाधत्/नानाधद्-नानाधती-नानाधत्/नानाधद्,(नानाधिष्यत्)-नानाधिष्यन्-नानाधिष्यती/नानाधिष्यन्ती-नानाधिष्यत्/नानाधिष्यद्,(नानाध्यमान)-नानाध्यमानः-नानाध्यमाना-नानाध्यमानम्,(नानाधिष्यमाण)-नानाधिष्यमाणः-नानाधिष्यमाणा-नानाधिष्यमाणम्,(नानाधित्वा)---,(प्रनानाध्य)---,(नानाधितुम्)---,(नानाधम्)---,(नानाध)-नानाधः--,(नानाद्धि)--नानाद्धिः-,(नानाध)-नानाधः-नानाधा-नानाधम्,[(नानाधाम्बभूवस्-नानाधामासिवस्-नानाधाञ्चकृवस्)- (नानाधाम्बभूवान्-नानाधामासिवान्-नानाधाञ्चकृवान्)- (नानाधाम्बभूषी-नानाधामास्युषी-नानाधाञ्चक्रुषी)- (नानाधाम्बभूवत्/नानाधाम्बभूवद्-नानाधामासिवत्/नानाधामासिवद्-नानाधाञ्चकृवत्/नानाधाञ्चकृवद्)],(नानाधान)-नानाधानः-नानाधाना-नानाधानम्,(नानाधक)-नानाधकः-नानाधिका-नानाधकम्,(नानाधा)--नानाधा-,
5,01.0007,(नानाथन)---नानाथनम्,(नानाथक)-नानाथकः-नानाथिका-नानाथकम्,(नानाथितृ)-नानाथिता-नानाथित्री-नानाथितृ,(नानाथितव्य)-नानाथितव्यः-नानाथितव्या-नानाथितव्यम्,(नानाथनीय)-नानाथनीयः-नानाथनीया-नानाथनीयम्,(नानाथित)-नानाथितः-नानाथिता-नानाथितम्,(नानाथितवत्)-नानाथितवान्-नानाथितवती-नानाथितवत्/नानाथितवद्,(नानाथत्)-नानाथत्/नानाथद्-नानाथती-नानाथत्/नानाथद्,(नानाथिष्यत्)-नानाथिष्यन्-नानाथिष्यती/नानाथिष्यन्ती-नानाथिष्यत्/नानाथिष्यद्,(नानाथ्यमान)-नानाथ्यमानः-नानाथ्यमाना-नानाथ्यमानम्,(नानाथिष्यमाण)-नानाथिष्यमाणः-नानाथिष्यमाणा-नानाथिष्यमाणम्,(नानाथित्वा)---,(प्रनानाथ्य)---,(नानाथितुम्)---,(नानाथम्)---,(नानाथ)-नानाथः--,(नानात्ति)--नानात्तिः-,(नानाथ)-नानाथः-नानाथा-नानाथम्,[(नानाथाम्बभूवस्-नानाथामासिवस्-नानाथाञ्चकृवस्)- (नानाथाम्बभूवान्-नानाथामासिवान्-नानाथाञ्चकृवान्)- (नानाथाम्बभूषी-नानाथामास्युषी-नानाथाञ्चक्रुषी)- (नानाथाम्बभूवत्/नानाथाम्बभूवद्-नानाथामासिवत्/नानाथामासिवद्-नानाथाञ्चकृवत्/नानाथाञ्चकृवद्)],(नानाथान)-नानाथानः-नानाथाना-नानाथानम्,(नानाथक)-नानाथकः-नानाथिका-नानाथकम्,(नानाथा)--नानाथा-,
6,01.0008,(दादधन)---दादधनम्,(दादाधक)-दादाधकः-दादाधिका-दादाधकम्,(दादधितृ)-दादधिता-दादधित्री-दादधितृ,(दादधितव्य)-दादधितव्यः-दादधितव्या-दादधितव्यम्,(दादधनीय)-दादधनीयः-दादधनीया-दादधनीयम्,(दादधित)-दादधितः-दादधिता-दादधितम्,(दादधितवत्)-दादधितवान्-दादधितवती-दादधितवत्/दादधितवद्,(दादधत्)-दादधत्/दादधद्-दादधती-दादधत्/दादधद्,(दादधिष्यत्)-दादधिष्यन्-दादधिष्यती/दादधिष्यन्ती-दादधिष्यत्/दादधिष्यद्,(दादध्यमान)-दादध्यमानः-दादध्यमाना-दादध्यमानम्,[(दादाधिष्यमाण-दादधिष्यमाण)- (दादाधिष्यमाणः-दादधिष्यमाणः)- (दादाधिष्यमाणा-दादधिष्यमाणा)- (दादाधिष्यमाणम्-दादधिष्यमाणम्)],(दादधित्वा)---,(प्रदादध्य)---,(दादधितुम्)---,(दादाधम्)---,(दादाध)-दादाधः--,(दादद्धि)--दादद्धिः-,(दादध)-दादधः-दादधा-दादधम्,[(दादाधिष्यमाण-दादधिष्यमाण-दादधाम्बभूवस्-दादधामासिवस्-दादधाञ्चकृवस्)- (दादाधिष्यमाणः-दादधिष्यमाणः-दादधाम्बभूवान्-दादधामासिवान्-दादधाञ्चकृवान्)- (दादाधिष्यमाणा-दादधिष्यमाणा-दादधाम्बभूषी-दादधामास्युषी-दादधाञ्चक्रुषी)- (दादाधिष्यमाणम्-दादधिष्यमाणम्-दादधाम्बभूवत्/दादधाम्बभूवद्-दादधामासिवत्/दादधामासिवद्-दादधाञ्चकृवत्/दादधाञ्चकृवद्)],(दादधान)-दादधानः-दादधाना-दादधानम्,(दादधक)-दादधकः-दादधिका-दादधकम्,(दादधा)--दादधा-,
7,01.0009,(चोस्कुन्दन)---चोस्कुन्दनम्,(चोस्कुन्दक)-चोस्कुन्दकः-चोस्कुन्दिका-चोस्कुन्दकम्,(चोस्कुन्दितृ)-चोस्कुन्दिता-चोस्कुन्दित्री-चोस्कुन्दितृ,(चोस्कुन्दितव्य)-चोस्कुन्दितव्यः-चोस्कुन्दितव्या-चोस्कुन्दितव्यम्,(चोस्कुन्दनीय)-चोस्कुन्दनीयः-चोस्कुन्दनीया-चोस्कुन्दनीयम्,(चोस्कुन्दित)-चोस्कुन्दितः-चोस्कुन्दिता-चोस्कुन्दितम्,(चोस्कुन्दितवत्)-चोस्कुन्दितवान्-चोस्कुन्दितवती-चोस्कुन्दितवत्/चोस्कुन्दितवद्,(चोस्कुन्दत्)-चोस्कुन्दत्/चोस्कुन्दद्-चोस्कुन्दती-चोस्कुन्दत्/चोस्कुन्दद्,(चोस्कुन्दिष्यत्)-चोस्कुन्दिष्यन्-चोस्कुन्दिष्यती/चोस्कुन्दिष्यन्ती-चोस्कुन्दिष्यत्/चोस्कुन्दिष्यद्,(चोस्कुन्द्यमान)-चोस्कुन्द्यमानः-चोस्कुन्द्यमाना-चोस्कुन्द्यमानम्,(चोस्कुन्दिष्यमाण)-चोस्कुन्दिष्यमाणः-चोस्कुन्दिष्यमाणा-चोस्कुन्दिष्यमाणम्,(चोस्कुन्दित्वा)---,(प्रचोस्कुन्द्य)---,(चोस्कुन्दितुम्)---,(चोस्कुन्दम्)---,(चोस्कुन्द)-चोस्कुन्दः--,[(चोस्कुन्ति-चोस्कुन्त्ति)- (-)- (चोस्कुन्तिः-चोस्कुन्त्तिः)- (-)],(चोस्कुन्द)-चोस्कुन्दः-चोस्कुन्दा-चोस्कुन्दम्,[(चोस्कुन्ति-चोस्कुन्त्ति-चोस्कुन्दाम्बभूवस्-चोस्कुन्दामासिवस्-चोस्कुन्दाञ्चकृवस्)- (--चोस्कुन्दाम्बभूवान्-चोस्कुन्दामासिवान्-चोस्कुन्दाञ्चकृवान्)- (चोस्कुन्तिः-चोस्कुन्त्तिः-चोस्कुन्दाम्बभूषी-चोस्कुन्दामास्युषी-चोस्कुन्दाञ्चक्रुषी)- (--चोस्कुन्दाम्बभूवत्/चोस्कुन्दाम्बभूवद्-चोस्कुन्दामासिवत्/चोस्कुन्दामासिवद्-चोस्कुन्दाञ्चकृवत्/चोस्कुन्दाञ्चकृवद्)],(चोस्कुन्दान)-चोस्कुन्दानः-चोस्कुन्दाना-चोस्कुन्दानम्,(चोस्कुन्दक)-चोस्कुन्दकः-चोस्कुन्दिका-चोस्कुन्दकम्,(चोस्कुन्दा)--चोस्कुन्दा-,
8,01.0010,(शेश्विन्दन)---शेश्विन्दनम्,(शेश्विन्दक)-शेश्विन्दकः-शेश्विन्दिका-शेश्विन्दकम्,(शेश्विन्दितृ)-शेश्विन्दिता-शेश्विन्दित्री-शेश्विन्दितृ,(शेश्विन्दितव्य)-शेश्विन्दितव्यः-शेश्विन्दितव्या-शेश्विन्दितव्यम्,(शेश्विन्दनीय)-शेश्विन्दनीयः-शेश्विन्दनीया-शेश्विन्दनीयम्,(शेश्विन्दित)-शेश्विन्दितः-शेश्विन्दिता-शेश्विन्दितम्,(शेश्विन्दितवत्)-शेश्विन्दितवान्-शेश्विन्दितवती-शेश्विन्दितवत्/शेश्विन्दितवद्,(शेश्विन्दत्)-शेश्विन्दत्/शेश्विन्दद्-शेश्विन्दती-शेश्विन्दत्/शेश्विन्दद्,(शेश्विन्दिष्यत्)-शेश्विन्दिष्यन्-शेश्विन्दिष्यती/शेश्विन्दिष्यन्ती-शेश्विन्दिष्यत्/शेश्विन्दिष्यद्,(शेश्विन्द्यमान)-शेश्विन्द्यमानः-शेश्विन्द्यमाना-शेश्विन्द्यमानम्,(शेश्विन्दिष्यमाण)-शेश्विन्दिष्यमाणः-शेश्विन्दिष्यमाणा-शेश्विन्दिष्यमाणम्,(शेश्विन्दित्वा)---,(प्रशेश्विन्द्य)---,(शेश्विन्दितुम्)---,(शेश्विन्दम्)---,(शेश्विन्द)-शेश्विन्दः--,[(शेश्विन्ति-शेश्विन्त्ति)- (-)- (शेश्विन्तिः-शेश्विन्त्तिः)- (-)],(शेश्विन्द)-शेश्विन्दः-शेश्विन्दा-शेश्विन्दम्,[(शेश्विन्ति-शेश्विन्त्ति-शेश्विन्दाम्बभूवस्-शेश्विन्दामासिवस्-शेश्विन्दाञ्चकृवस्)- (--शेश्विन्दाम्बभूवान्-शेश्विन्दामासिवान्-शेश्विन्दाञ्चकृवान्)- (शेश्विन्तिः-शेश्विन्त्तिः-शेश्विन्दाम्बभूषी-शेश्विन्दामास्युषी-शेश्विन्दाञ्चक्रुषी)- (--शेश्विन्दाम्बभूवत्/शेश्विन्दाम्बभूवद्-शेश्विन्दामासिवत्/शेश्विन्दामासिवद्-शेश्विन्दाञ्चकृवत्/शेश्विन्दाञ्चकृवद्)],(शेश्विन्दान)-शेश्विन्दानः-शेश्विन्दाना-शेश्विन्दानम्,(शेश्विन्दक)-शेश्विन्दकः-शेश्विन्दिका-शेश्विन्दकम्,(शेश्विन्दा)--शेश्विन्दा-,
9,01.0011,(वावन्दन)---वावन्दनम्,(वावन्दक)-वावन्दकः-वावन्दिका-वावन्दकम्,(वावन्दितृ)-वावन्दिता-वावन्दित्री-वावन्दितृ,(वावन्दितव्य)-वावन्दितव्यः-वावन्दितव्या-वावन्दितव्यम्,(वावन्दनीय)-वावन्दनीयः-वावन्दनीया-वावन्दनीयम्,(वावन्दित)-वावन्दितः-वावन्दिता-वावन्दितम्,(वावन्दितवत्)-वावन्दितवान्-वावन्दितवती-वावन्दितवत्/वावन्दितवद्,(वावन्दत्)-वावन्दत्/वावन्दद्-वावन्दती-वावन्दत्/वावन्दद्,(वावन्दिष्यत्)-वावन्दिष्यन्-वावन्दिष्यती/वावन्दिष्यन्ती-वावन्दिष्यत्/वावन्दिष्यद्,(वावन्द्यमान)-वावन्द्यमानः-वावन्द्यमाना-वावन्द्यमानम्,(वावन्दिष्यमाण)-वावन्दिष्यमाणः-वावन्दिष्यमाणा-वावन्दिष्यमाणम्,(वावन्दित्वा)---,(प्रवावन्द्य)---,(वावन्दितुम्)---,(वावन्दम्)---,(वावन्द)-वावन्दः--,[(वावन्ति-वावन्त्ति)- (-)- (वावन्तिः-वावन्त्तिः)- (-)],(वावन्द)-वावन्दः-वावन्दा-वावन्दम्,[(वावन्ति-वावन्त्ति-वावन्दाम्बभूवस्-वावन्दामासिवस्-वावन्दाञ्चकृवस्)- (--वावन्दाम्बभूवान्-वावन्दामासिवान्-वावन्दाञ्चकृवान्)- (वावन्तिः-वावन्त्तिः-वावन्दाम्बभूषी-वावन्दामास्युषी-वावन्दाञ्चक्रुषी)- (--वावन्दाम्बभूवत्/वावन्दाम्बभूवद्-वावन्दामासिवत्/वावन्दामासिवद्-वावन्दाञ्चकृवत्/वावन्दाञ्चकृवद्)],(वावन्दान)-वावन्दानः-वावन्दाना-वावन्दानम्,(वावन्दक)-वावन्दकः-वावन्दिका-वावन्दकम्,(वावन्दा)--वावन्दा-,
